X Z U W THETA OMEGA
6.5899531250814e-07 -0.000376751159552887 7.20213319152856e-07 -0.000411749851726076 60 0
6.66217123627698e-07 -0.00038087990806203 7.24148908832679e-07 -0.000413999850101169 60 0
6.73478290643444e-07 -0.00038503115655488 7.28084498489104e-07 -0.000416249848467407 60 0
6.80778813555162e-07 -0.000389204905031348 7.32020088122146e-07 -0.000418499846824789 60 0
6.88118692362634e-07 -0.000393401153491346 7.35955677731818e-07 -0.000420749845173317 60 0
6.95497927065642e-07 -0.000397619901934785 7.39891267318133e-07 -0.000422999843512989 60 0
7.02916517663969e-07 -0.000401861150361576 7.43826856881104e-07 -0.000425249841843807 60 0
7.10374464157396e-07 -0.000406124898771631 7.47762446420745e-07 -0.000427499840165769 60 0
7.17871766545706e-07 -0.000410411147164861 7.5169803593707e-07 -0.000429749838478877 60 0
7.25408424828681e-07 -0.000414719895541178 7.5563362543009e-07 -0.000431999836783129 60 0
7.32984439006103e-07 -0.000419051143900493 7.59569214899821e-07 -0.000434249835078526 60 0
7.40599809077756e-07 -0.000423404892242718 7.63504804346275e-07 -0.000436499833365068 60 0
7.4825453504342e-07 -0.000427781140567764 7.67440393769465e-07 -0.000438749831642755 60 0
7.55948616902879e-07 -0.000432179888875543 7.71375983169404e-07 -0.000440999829911587 60 0
7.63682054655914e-07 -0.000436601137165966 7.75311572546107e-07 -0.000443249828171564 60 0
7.71454848302309e-07 -0.000441044885438944 7.79247161899586e-07 -0.000445499826422686 60 0
7.79266997841844e-07 -0.000445511133694389 7.83182751229855e-07 -0.000447749824664953 60 0
7.87118503274303e-07 -0.000449999881932213 7.87118340536927e-07 -0.000449999822898364 60 0
7.95009364599469e-07 -0.000454511130152326 7.91053929820816e-07 -0.000452249821122921 60 0
8.02939581817121e-07 -0.000459044878354641 7.94989519081534e-07 -0.000454499819338622 60 0
8.10909154927045e-07 -0.000463601126539068 7.98925108319095e-07 -0.000456749817545469 60 0
8.18918083929021e-07 -0.00046817987470552 8.02860697533513e-07 -0.00045899981574346 60 0
8.26966368822832e-07 -0.000472781122853907 8.067962867248e-07 -0.000461249813932597 60 0
8.3505400960826e-07 -0.000477404870984141 8.1073187589297e-07 -0.000463499812112878 60 0
8.43181006285088e-07 -0.000482051119096134 8.14667465038037e-07 -0.000465749810284304 60 0
8.51347358853098e-07 -0.000486719867189797 8.18603054160013e-07 -0.000467999808446875 60 0
8.59553067312072e-07 -0.000491411115265041 8.22538643258912e-07 -0.000470249806600591 60 0
8.67798131661793e-07 -0.000496124863321778 8.26474232334748e-07 -0.000472499804745452 60 0
8.76082551902041e-07 -0.00050086111135992 8.30409821387533e-07 -0.000474749802881458 60 0
8.84406328032602e-07 -0.000505619859379377 8.34345410417281e-07 -0.000476999801008609 60 0
8.92769460053255e-07 -0.000510401107380061 8.38280999424006e-07 -0.000479249799126905 60 0
9.01171947963784e-07 -0.000515204855361885 8.4221658840772e-07 -0.000481499797236345 60 0
9.09613791763971e-07 -0.000520031103324758 8.46152177368437e-07 -0.000483749795336931 60 0
9.18094991453598e-07 -0.000524879851268593 8.50087766306171e-07 -0.000485999793428662 60 0
9.26615547032448e-07 -0.0005297510991933 8.54023355220934e-07 -0.000488249791511537 60 0
9.35175458500302e-07 -0.000534644847098793 8.57958944112739e-07 -0.000490499789585557 60 0
9.43774725856943e-07 -0.000539561094984981 8.61894532981602e-07 -0.000492749787650723 60 0
9.52413349102154e-07 -0.000544499842851777 8.65830121827534e-07 -0.000494999785707033 60 0
9.61091328235716e-07 -0.000549461090699091 8.69765710650548e-07 -0.000497249783754488 60 0
9.69808663257412e-07 -0.000554444838526836 8.73701299450659e-07 -0.000499499781793088 60 0
9.78565354167024e-07 -0.000559451086334922 8.7763688822788e-07 -0.000501749779822833 60 0
9.87361400964336e-07 -0.000564479834123262 8.81572476982223e-07 -0.000503999777843723 60 0
9.96196803649127e-07 -0.000569531081891766 8.85508065713703e-07 -0.000506249775855758 60 0
1.00507156222118e-06 -0.000574604829640347 8.89443654422332e-07 -0.000508499773858938 60 0
1.01398567668028e-06 -0.000579701077368914 8.93379243108124e-07 -0.000510749771853263 60 0
1.02293914702621e-06 -0.000584819825077381 8.97314831771092e-07 -0.000512999769838732 60 0
1.03193197325875e-06 -0.000589961072765658 9.0125042041125e-07 -0.000515249767815347 60 0
1.04096415537768e-06 -0.000595124820433658 9.05186009028611e-07 -0.000517499765783106 60 0
1.05003569338278e-06 -0.00060031106808129 9.09121597623188e-07 -0.000519749763742011 60 0
1.05914658727384e-06 -0.000605519815708467 9.13057186194994e-07 -0.00052199976169206 60 0
1.06829683705064e-06 -0.000610751063315101 9.16992774744043e-07 -0.000524249759633255 60 0
1.07748644271297e-06 -0.000616004810901102 9.20928363270349e-07 -0.000526499757565594 60 0
1.08671540426059e-06 -0.000621281058466382 9.24863951773923e-07 -0.000528749755489078 60 0
1.0959837216933e-06 -0.000626579806010852 9.28799540254781e-07 -0.000530999753403707 60 0
1.10529139501088e-06 -0.000631901053534425 9.32735128712935e-07 -0.000533249751309481 60 0
1.11463842421311e-06 -0.000637244801037011 9.36670717148398e-07 -0.0005354997492064 60 0
1.12402480929977e-06 -0.000642611048518522 9.40606305561184e-07 -0.000537749747094464 60 0
1.13345055027065e-06 -0.00064799979597887 9.44541893951307e-07 -0.000539999744973673 60 0
1.14291564712553e-06 -0.000653411043417965 9.48477482318778e-07 -0.000542249742844027 60 0
1.15242009986418e-06 -0.00065884479083572 9.52413070663613e-07 -0.000544499740705525 60 0
1.1619639084864e-06 -0.000664301038232045 9.56348658985823e-07 -0.000546749738558169 60 0
1.17154707299196e-06 -0.000669779785606852 9.60284247285423e-07 -0.000548999736401958 60 0
1.18116959338065e-06 -0.000675281032960054 9.64219835562426e-07 -0.000551249734236891 60 0
1.19083146965225e-06 -0.00068080478029156 9.68155423816845e-07 -0.00055349973206297 60 0
1.20053270180654e-06 -0.000686351027601282 9.72091012048693e-07 -0.000555749729880193 60 0
1.2102732898433e-06 -0.000691919774889133 9.76026600257984e-07 -0.000557999727688561 60 0
1.22005323376232e-06 -0.000697511022155023 9.79962188444731e-07 -0.000560249725488074 60 0
1.22987253356337e-06 -0.000703124769398863 9.83897776608947e-07 -0.000562499723278732 60 0
1.23973118924625e-06 -0.000708761016620566 9.87833364750647e-07 -0.000564749721060536 60 0
1.24962920081073e-06 -0.000714419763820043 9.91768952869842e-07 -0.000566999718833484 60 0
1.25956656825659e-06 -0.000720101010997206 9.95704540966547e-07 -0.000569249716597576 60 0
1.26954329158362e-06 -0.000725804758151964 9.99640129040774e-07 -0.000571499714352814 60 0
1.2795593707916e-06 -0.000731531005284231 1.00357571709254e-06 -0.000573749712099197 60 0
1.28961480588031e-06 -0.000737279752393917 1.00751130512185e-06 -0.000575999709836725 60 0
1.29970959684954e-06 -0.000743050999480935 1.01144689312872e-06 -0.000578249707565397 60 0
1.30984374369906e-06 -0.000748844746545195 1.01538248111318e-06 -0.000580499705285215 60 0
1.32001724642866e-06 -0.000754660993586608 1.01931806907522e-06 -0.000582749702996178 60 0
1.33023010503812e-06 -0.000760499740605087 1.02325365701486e-06 -0.000584999700698285 60 0
1.34048231952723e-06 -0.000766360987600543 1.02718924493212e-06 -0.000587249698391537 60 0
1.35077388989576e-06 -0.000772244734572887 1.03112483282701e-06 -0.000589499696075935 60 0
1.3611048161435e-06 -0.000778150981522031 1.03506042069954e-06 -0.000591749693751477 60 0
1.37147509827023e-06 -0.000784079728447886 1.03899600854973e-06 -0.000593999691418164 60 0
1.38188473627573e-06 -0.000790030975350363 1.04293159637758e-06 -0.000596249689075996 60 0
1.39233373015978e-06 -0.000796004722229375 1.04686718418312e-06 -0.000598499686724973 60 0
1.40282207992218e-06 -0.000802000969084832 1.05080277196636e-06 -0.000600749684365095 60 0
1.41334978556269e-06 -0.000808019715916646 1.0547383597273e-06 -0.000602999681996362 60 0
1.4239168470811e-06 -0.000814060962724729 1.05867394746597e-06 -0.000605249679618774 60 0
1.4345232644772e-06 -0.000820124709508991 1.06260953518237e-06 -0.000607499677232331 60 0
1.44516903775076e-06 -0.000826210956269344 1.06654512287652e-06 -0.000609749674837032 60 0
1.45585416690158e-06 -0.000832319703005701 1.07048071054844e-06 -0.000611999672432879 60 0
1.46657865192942e-06 -0.000838450949717971 1.07441629819813e-06 -0.00061424967001987 60 0
1.47734249283407e-06 -0.000844604696406067 1.07835188582561e-06 -0.000616499667598007 60 0
1.48814568961533e-06 -0.000850780943069901 1.08228747343089e-06 -0.000618749665167288 60 0
1.49898824227295e-06 -0.000856979689709382 1.08622306101399e-06 -0.000620999662727715 60 0
1.50987015080674e-06 -0.000863200936324424 1.09015864857492e-06 -0.000623249660279286 60 0
1.52079141521647e-06 -0.000869444682914938 1.09409423611369e-06 -0.000625499657822002 60 0
1.53175203550193e-06 -0.000875710929480833 1.09802982363031e-06 -0.000627749655355863 60 0
1.54275201166289e-06 -0.000881999676022024 1.10196541112481e-06 -0.00062999965288087 60 0
1.55379134369914e-06 -0.00088831092253842 1.10590099859719e-06 -0.000632249650397021 60 0
1.56487003161046e-06 -0.000894644669029933 1.10983658604746e-06 -0.000634499647904316 60 0
1.57598807539664e-06 -0.000901000915496475 1.11377217347564e-06 -0.000636749645402757 60 0
1.58714547505745e-06 -0.000907379661937958 1.11770776088175e-06 -0.000638999642892343 60 0
1.59834223059268e-06 -0.000913780908354292 1.12164334826579e-06 -0.000641249640373074 60 0
1.60957834200211e-06 -0.000920204654745388 1.12557893562778e-06 -0.000643499637844949 60 0
1.62085380928552e-06 -0.00092665090111116 1.12951452296773e-06 -0.00064574963530797 60 0
